symbol,category,date
CGPOWER,momentum,2026-06-05
KPRMILL,momentum,2026-06-05
PNBGILTS,momentum,2026-06-05
ARVIND,momentum,2026-06-05
POLYCAB,momentum,2026-06-05
IRCTC,reversal,2026-06-05
SAPPHIRE,reversal,2026-06-05
SPENCERS,reversal,2026-06-05
IEX,reversal,2026-06-05
SWSOLAR,reversal,2026-06-05
GREENPLY,momentum,2026-06-05
ASTRAMICRO,momentum,2026-06-05
NBCC,momentum,2026-06-05
EQUITASBNK,momentum,2026-06-05
ADANIENSOL,momentum,2026-06-05
BAJAJHFL,reversal,2026-06-05
ORIENTCEM,reversal,2026-06-05
BAJFINANCE,reversal,2026-06-05
BAJAJFINSV,reversal,2026-06-05
CHEMCON,momentum,2026-06-05
AURUM,momentum,2026-06-05
BGRENERGY,momentum,2026-06-05
EDELWEISS,reversal,2026-06-05
JISLJALEQS,reversal,2026-06-05
RECLTD,reversal,2026-06-05
KIMS,momentum,2026-06-05
ALEMBICLTD,reversal,2026-06-05
ADANIGREEN,momentum,2026-06-05
GOCOLORS,momentum,2026-06-05
HARSHA,reversal,2026-06-05
